dataset_id,provider,license,coverage_start,coverage_end,observed_at,available_date,revision_id,symbol,frequency,schema_version,file_sha256,manifest_sha256,pit_status,known_limitations
stock_industry_classification_history,"申万当前分类工作簿观察；正式来源待选择（申万历史版本或授权PIT供应商）","OBSERVATION_SOURCE_TERMS_UNVERIFIED; COMMERCIAL_OR_ARCHIVE_LICENSE_REQUIRED_FOR_FORMAL_USE",1990-12-01,2026-07-10,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_A_SHARE_LIFECYCLE_ASSETS,event_effective_interval,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_CURRENT_SNAPSHOT_BACKFILL_RISK,"现有工作簿包含事后整理，3539条区间在区间结束后才可得；没有逐发布日期版本，不能证明历史时点可见。"
stock_financial_statement_vintages,"东方财富最终报表快照观察；正式来源待选择（巨潮/交易所公告版本库、聚宽完整PIT或授权PIT供应商）","OBSERVATION_SOURCE_TERMS_UNVERIFIED; AUTHORIZED_PIT_LICENSE_REQUIRED_FOR_FORMAL_USE",2004-03-31,2026-06-30,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_A_SHARE_LIFECYCLE_ASSETS,filing_revision_event,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_MISSING_REVISION_VINTAGES,"现有261885行是最终快照观察；资产负债表和现金流量表缺少逐次修订时间戳，不能区分首次披露与事后更正。"
stock_historical_valuation,"东方财富/聚宽/BaoStock观察；正式来源待选择（Tushare daily_basic、聚宽完整历史估值或授权PIT供应商）","OBSERVATION_SOURCE_TERMS_UNVERIFIED; AUTHORIZED_HISTORICAL_LICENSE_REQUIRED_FOR_FORMAL_USE",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_A_SHARE_LIFECYCLE_ASSETS,daily,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_MISSING_FULL_LIFECYCLE_PIT_HISTORY,"当前观察覆盖活跃候选，不能证明供应商历史版本；退市股覆盖和第二PIT来源未闭合。"
etf_benchmark_history,"基金公告观察；正式来源待选择（基金公司/交易所公告、聚宽FUND_INVEST_TARGET或授权基金库）","PUBLIC_DOCUMENT_REUSE_REVIEW_REQUIRED; AUTHORIZED_FUND_DATA_LICENSE_REQUIRED_FOR_STRUCTURED_HISTORY",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_ETF_LIFECYCLE_ASSETS,event_effective_interval,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_CURRENT_BENCHMARK_BACKFILL_RISK,"现有观察链只覆盖部分ETF和较短区间；不得把当前跟踪指数映射回填到基金历史。"
etf_total_return_prices,"腾讯价格与东方财富净值当前最终内容观察；正式来源待选择（授权基金库或经审计的自建事件复权链）","PUBLIC_WEB_SOURCE_TERMS_UNVERIFIED; AUTHORIZED_FUND_LICENSE_OR_DOCUMENTED_DERIVATION_RIGHTS_REQUIRED",2005-02-23,2026-07-17,2026-07-23T12:03:20+08:00,2026-07-19,NOT_ACQUIRED,ALL_ETF_LIFECYCLE_ASSETS,daily,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_CURRENT_FINAL_SNAPSHOT_NOT_PIT,"当前最终价格和净值虽覆盖1701只ETF，但采集版本深度为0，历史行只证明2026-07-19时可见；部分退市事件链仍不完整。"
etf_historical_aum_liquidity,"正式来源待选择（交易所份额与成交额、基金定期报告或授权基金库）","PROVIDER_SELECTION_PENDING; COMMERCIAL_OR_OFFICIAL_ARCHIVE_REUSE_REVIEW_REQUIRED",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_ETF_LIFECYCLE_ASSETS,daily_or_report_period,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_DATASET_MISSING,"缺少带真实可得日的历史份额、AUM和流动性；不得用当前规模或当前成交额回填。"
etf_historical_fees,"正式来源待选择（招募说明书/更新版、基金公告或授权基金库）","PUBLIC_DOCUMENT_REUSE_REVIEW_REQUIRED; COMMERCIAL_LICENSE_REQUIRED_IF_VENDOR_DATA_USED",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_ETF_LIFECYCLE_ASSETS,event_effective_interval,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_DATASET_MISSING,"缺少管理费、托管费等费率的逐版本公告日与生效区间；当前费率不能回填历史。"
etf_historical_tracking_error,"正式来源待选择（基金定期报告、基金公司披露或授权基金分析库）","PUBLIC_DOCUMENT_REUSE_REVIEW_REQUIRED; COMMERCIAL_ANALYTICS_LICENSE_REQUIRED_IF_VENDOR_DATA_USED",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_ETF_LIFECYCLE_ASSETS,report_period,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_DATASET_MISSING,"缺少明确价格/全收益口径、计算窗口、公告可得日和历史修订版本的跟踪误差。"
index_total_return_history,"正式来源待选择（中证/上证/国证官方历史接口或授权指数库）","INDEX_DATA_LICENSE_REQUIRED; REDISTRIBUTION_RIGHTS_NOT_ESTABLISHED",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_REFERENCED_INDEX_CODES,daily,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_DATASET_MISSING,"现有代码映射和当前快照资格不能替代全收益指数历史；价格指数不能作为高股息策略的全收益基准。"
index_historical_valuation,"正式来源待选择（中证/上证/国证官方历史接口或授权指数估值库）","INDEX_DATA_LICENSE_REQUIRED; REDISTRIBUTION_RIGHTS_NOT_ESTABLISHED",NOT_ACQUIRED,NOT_ACQUIRED,2026-07-23T12:03:20+08:00,NOT_ACQUIRED,NOT_ACQUIRED,ALL_REFERENCED_INDEX_CODES,daily,wp5_dataset_gap_inventory_v1,NOT_ACQUIRED,NOT_ACQUIRED,BLOCKED_DATASET_MISSING,"缺少PE/PB/股息率的历史时点版本、方法版本和可得日；当前估值不得回填历史。"
