priority,asset,asset_name,lifecycle_status,price_effective_date,inferred_factor,observed_price_ratio,ratio_residual_pct,evidence_basis,required_evidence,review_status,historical_backtest_allowed,source_status_sha256,source_run_id,resolution_status,resolution_source,official_action_type,official_event_date,official_announcement_date,official_factor,factor_correction_pct,official_source_url,validation_schema,validation_manifest_sha256,promotion_manifest_sha256,registry_match
P0,159220,港股通红利低波ETF华宝,active,2025-11-10,2.0,1.977671451,-1.116427432,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2025-11-07,2025-11-09,2.0,0.0,https://static.cninfo.com.cn/finalpage/2025-11-10/1224794202.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159231,通用航空ETF华宝,active,2025-08-11,2.0,1.99338843,-0.330578512,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2025-08-08,2025-08-10,2.0,0.0,https://static.cninfo.com.cn/finalpage/2025-08-11/1224442186.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159246,创业板人工智能ETF富国,active,2026-02-13,2.0,2.03871577,1.93578848,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-02-12,2026-02-12,2.0,0.0,https://static.cninfo.com.cn/finalpage/2026-02-13/1224980186.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159305,储能电池ETF广发,active,2026-05-21,2.0,2.082230624,4.111531191,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-05-20,2026-05-20,2.0,0.0,https://static.cninfo.com.cn/finalpage/2026-05-21/1225321575.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159320,电网设备ETF广发,active,2026-07-15,3.0,3.073482428,2.449414271,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-07-14,2026-07-14,3.0,0.0,https://static.cninfo.com.cn/finalpage/2026-07-15/1225425383.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159363,创业板人工智能ETF华宝,active,2025-07-21,2.0,2.005050505,0.252525253,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2025-07-18,2025-07-20,2.0,0.0,https://static.cninfo.com.cn/finalpage/2025-07-21/1224216602.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159368,创业板新能源ETF华夏,active,2026-07-07,2.0,2.026737968,1.336898396,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-07-06,2026-07-06,2.0,0.0,https://static.cninfo.com.cn/finalpage/2026-07-07/1225412514.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159381,创业板人工智能ETF华夏,active,2026-06-03,2.0,1.926742532,-3.6628734,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-06-02,2026-06-02,2.0,0.0,https://static.cninfo.com.cn/finalpage/2026-06-03/1225347542.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159387,创业板新能源ETF国泰,active,2026-03-30,2.0,2.052631579,2.631578947,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_split,2026-03-27,2026-03-29,2.0,0.0,https://static.cninfo.com.cn/finalpage/2026-03-30/1225045466.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
P0,159393,沪深300ETF万家,active,2025-03-31,0.25,0.257201646,2.880658436,zero_marker_common_factor_inference,official fund-manager or exchange share split/merger result with exact factor and effective date,pending_primary_evidence,False,5cd5d1518d5986a2ae4e7f957355c199551571109c8dd98af89ffe8f7ee23292,20260717_20260718T193335462592+0800_4fbf151bf6a9,resolved_governed_official,cninfo_official_fund_disclosure,share_conversion,2025-03-28,2025-03-28,0.255283787,2.1135147999999937,https://static.cninfo.com.cn/finalpage/2025-03-29/1222949052.PDF,cninfo_etf_share_action_cross_evidence_v1,01acff627cf0c32f6c14be69d675d29c9d0283cab9109fbae704a4865dc796e7,8f7961c36a1991a5c85af9b7ffeea2d8c833724c76a917eed4862d22e3daba43,True
