factor_id,column,family,direction,horizon,data_type,availability_col,cost_tier,description
value_ep_ttm,value_ep_ttm_raw,value,1,20,financial,financial_available_at,low,TTM earnings yield
value_bp,value_bp_raw,value,1,20,financial,financial_available_at,low,Book-to-price
value_sp_ttm,value_sp_ttm_raw,value,1,20,financial,financial_available_at,low,TTM sales-to-price
value_ocfp_ttm,value_ocfp_ttm_raw,value,1,20,financial,financial_available_at,low,Operating cashflow-to-price
value_fcfp_ttm,value_fcfp_ttm_raw,value,1,20,financial,financial_available_at,low,Free-cashflow-to-price
value_ebitda_ev,value_ebitda_ev_raw,value,1,20,financial,financial_available_at,low,EBITDA-to-enterprise-value
value_intangible_adjusted_bp,value_intangible_adjusted_bp_raw,value,1,20,financial,financial_available_at,medium,Intangible-adjusted book-to-price
dividend_yield_ttm,dividend_yield_ttm_raw,dividend,1,20,corporate_action,dividend_available_at,low,Trailing dividend yield
dividend_stability_3y,dividend_stability_3y_raw,dividend,1,20,corporate_action,dividend_available_at,low,Three-year dividend stability
dividend_payout_quality,dividend_payout_quality_raw,dividend,1,20,financial,financial_available_at,low,Dividend payout supported by cashflow
quality_roe_ttm,quality_roe_ttm_raw,quality,1,20,financial,financial_available_at,low,TTM return on equity
quality_roa_ttm,quality_roa_ttm_raw,quality,1,20,financial,financial_available_at,low,TTM return on assets
quality_gross_margin_ttm,quality_gross_margin_ttm_raw,quality,1,20,financial,financial_available_at,low,TTM gross margin
quality_operating_margin_ttm,quality_operating_margin_ttm_raw,quality,1,20,financial,financial_available_at,low,TTM operating margin
quality_cash_earnings,quality_cash_earnings_raw,quality,1,20,financial,financial_available_at,low,Operating cashflow divided by net profit
quality_accruals,quality_accruals_raw,quality,-1,20,financial,financial_available_at,low,Accruals intensity
quality_roe_stability,quality_roe_stability_raw,quality,1,20,financial,financial_available_at,low,ROE stability over trailing quarters
quality_asset_growth_stability,quality_asset_growth_stability_raw,quality,1,20,financial,financial_available_at,low,Asset-growth stability
profit_gross_profit_trend,profit_gross_profit_trend_raw,profitability,1,20,financial,financial_available_at,low,Gross-profit trend slope
profit_roe_prediction,profit_roe_prediction_raw,profitability,1,20,financial,financial_available_at,medium,Predicted current ROE from disclosures and consensus
profit_sue_weighted,profit_sue_weighted_raw,profitability,1,20,financial,financial_available_at,medium,Industry-weighted standardized unexpected earnings
growth_revenue_yoy,growth_revenue_yoy_raw,growth,1,20,financial,financial_available_at,low,Revenue year-on-year growth
growth_profit_yoy,growth_profit_yoy_raw,growth,1,20,financial,financial_available_at,low,Net-profit year-on-year growth
growth_roe_yoy,growth_roe_yoy_raw,growth,1,20,financial,financial_available_at,low,ROE year-on-year change
growth_sales_acceleration,growth_sales_acceleration_raw,growth,1,20,financial,financial_available_at,low,Sales growth acceleration
investment_asset_growth,investment_asset_growth_raw,investment,-1,20,financial,financial_available_at,low,Asset growth anomaly score
investment_capex_growth,investment_capex_growth_raw,investment,-1,20,financial,financial_available_at,low,Capital expenditure growth penalty
